
Activity Table
RecID	MultiSportSessionRecID	NextSportRecID	StartTime	Sport	TotalTimeSeconds	DistanceMeters	VirtualPartner	PlanName	PlanType	IntervalWorkout	Notes	Creator	
1			2013-06-11T23:18:21Z	Biking				""			""	"EDGE305"	
2			2013-10-02T13:31:43Z	Biking				""			""	"EDGE305"	
3			2013-05-03T22:59:16Z	Biking				""			""	"EDGE305"	
4			2013-12-02T14:35:39Z	Biking				""			""	"EDGE305"	
5			2013-03-01T16:46:59Z	Biking				""			""	"EDGE305"	
6			2013-05-31T23:14:19Z	Biking				""			""	"EDGE305"	
7			2013-10-29T23:23:26Z	Biking				""			""	"EDGE305"	
8			2013-07-31T13:42:05Z	Biking				""			""	"EDGE305"	
9			2013-07-30T23:14:49Z	Biking				""			""	"EDGE305"	
10			2013-07-22T23:14:00Z	Biking				""			""	"EDGE305"	
11			2013-12-04T00:06:18Z	Biking				""			""	"EDGE305"	
12			2013-01-16T15:46:19Z	Biking				""			""	"EDGE305"	
13			2013-04-03T14:47:49Z	Biking				""			""	"EDGE305"	
14			2013-06-11T13:47:27Z	Biking				""			""	"EDGE305"	
15			2013-09-05T00:19:31Z	Biking				""			""	"EDGE305"	
16			2013-07-25T13:38:55Z	Biking				""			""	"EDGE305"	
17			2013-05-15T13:48:45Z	Biking				""			""	"EDGE305"	
18			2013-02-21T00:20:02Z	Biking				""			""	"EDGE305"	
19			2013-05-16T13:49:47Z	Biking				""			""	"EDGE305"	
20			2013-12-14T00:15:12Z	Biking				""			""	"EDGE305"	
21			2013-09-11T23:18:21Z	Biking				""			""	"EDGE305"	
22			2013-11-21T14:35:17Z	Biking				""			""	"EDGE305"	
23			2013-10-28T23:22:11Z	Biking				""			""	"EDGE305"	
24			2013-07-29T13:40:23Z	Biking				""			""	"EDGE305"	
25			2013-10-04T23:19:35Z	Biking				""			""	"EDGE305"	
26			2013-07-19T13:39:24Z	Biking				""			""	"EDGE305"	
27			2013-09-09T23:23:09Z	Biking				""			""	"EDGE305"	
28			2013-04-08T23:15:25Z	Biking				""			""	"EDGE305"	
29			2013-01-11T23:56:46Z	Biking				""			""	"EDGE305"	
30			2013-01-26T00:21:15Z	Biking				""			""	"EDGE305"	
31			2013-01-03T00:20:26Z	Biking				""			""	"EDGE305"	
32			2013-03-27T15:00:14Z	Biking				""			""	"EDGE305"	
33			2013-08-10T21:37:19Z	Biking				""			""	"EDGE305"	
34			2013-10-30T23:22:57Z	Biking				""			""	"EDGE305"	
35			2013-08-28T23:18:02Z	Biking				""			""	"EDGE305"	
36			2013-05-01T23:15:55Z	Biking				""			""	"EDGE305"	
37			2013-05-13T14:46:42Z	Biking				""			""	"EDGE305"	
38			2013-12-12T00:21:17Z	Biking				""			""	"EDGE305"	
39			2013-10-29T13:39:06Z	Biking				""			""	"EDGE305"	
40			2013-06-17T13:38:01Z	Biking				""			""	"EDGE305"	
41			2013-02-27T14:47:54Z	Biking				""			""	"EDGE305"	
42			2013-10-23T13:38:01Z	Biking				""			""	"EDGE305"	
43			2013-12-17T14:38:54Z	Biking				""			""	"EDGE305"	
44			2013-04-05T23:20:57Z	Biking				""			""	"EDGE305"	
45			2013-05-29T22:58:23Z	Biking				""			""	"EDGE305"	
46			2013-03-22T13:46:00Z	Biking				""			""	"EDGE305"	
47			2013-12-06T15:45:55Z	Biking				""			""	"EDGE305"	
48			2013-05-10T14:49:09Z	Biking				""			""	"EDGE305"	
49			2013-12-04T14:43:12Z	Biking				""			""	"EDGE305"	
50			2013-07-29T23:16:31Z	Biking				""			""	"EDGE305"	
51			2013-01-31T00:17:49Z	Biking				""			""	"EDGE305"	
52			2013-03-21T23:18:42Z	Biking				""			""	"EDGE305"	
53			2013-11-22T00:09:16Z	Biking				""			""	"EDGE305"	
54			2013-10-15T13:38:19Z	Biking				""			""	"EDGE305"	
55			2013-02-26T00:03:26Z	Biking				""			""	"EDGE305"	
56			2013-01-15T15:48:24Z	Biking				""			""	"EDGE305"	
57			2013-09-26T00:19:12Z	Biking				""			""	"EDGE305"	
58			2013-04-03T23:18:15Z	Biking				""			""	"EDGE305"	
59			2013-09-03T13:38:46Z	Biking				""			""	"EDGE305"	
60			2013-05-31T13:50:21Z	Biking				""			""	"EDGE305"	
61			2013-09-20T13:39:02Z	Biking				""			""	"EDGE305"	
62			2013-09-18T13:37:20Z	Biking				""			""	"EDGE305"	
63			2013-07-31T23:17:32Z	Biking				""			""	"EDGE305"	
64			2013-12-03T00:18:47Z	Biking				""			""	"EDGE305"	
65			2013-03-19T23:15:51Z	Biking				""			""	"EDGE305"	
66			2013-09-13T13:38:19Z	Biking				""			""	"EDGE305"	
67			2013-05-20T22:22:18Z	Biking				""			""	"EDGE305"	
68			2013-09-23T22:19:24Z	Biking				""			""	"EDGE305"	
69			2013-10-25T13:38:07Z	Biking				""			""	"EDGE305"	
70			2013-07-26T23:19:57Z	Biking				""			""	"EDGE305"	
71			2013-01-29T15:47:23Z	Biking				""			""	"EDGE305"	
72			2013-02-13T00:15:43Z	Biking				""			""	"EDGE305"	
73			2013-05-03T13:45:09Z	Biking				""			""	"EDGE305"	
74			2013-04-23T23:19:47Z	Biking				""			""	"EDGE305"	
75			2013-10-25T23:21:54Z	Biking				""			""	"EDGE305"	
76			2013-11-17T23:28:38Z	Biking				""			""	"EDGE305"	
77			2013-05-01T13:43:58Z	Biking				""			""	"EDGE305"	
78			2013-04-29T14:54:56Z	Biking				""			""	"EDGE305"	
79			2013-08-28T13:42:07Z	Biking				""			""	"EDGE305"	
80			2013-12-06T14:47:37Z	Biking				""			""	"EDGE305"	
81			2013-02-26T16:11:12Z	Biking				""			""	"EDGE305"	
82			2013-10-08T13:41:31Z	Biking				""			""	"EDGE305"	
83			2013-09-20T23:21:19Z	Biking				""			""	"EDGE305"	
84			2013-05-22T23:16:30Z	Biking				""			""	"EDGE305"	
85			2013-06-18T22:19:33Z	Biking				""			""	"EDGE305"	
86			2013-10-04T13:40:05Z	Biking				""			""	"EDGE305"	
87			2013-12-27T22:44:42Z	Biking				""			""	"EDGE305"	
88			2013-02-11T15:48:47Z	Biking				""			""	"EDGE305"	
89			2013-09-06T22:56:23Z	Biking				""			""	"EDGE305"	
90			2013-05-13T23:17:04Z	Biking				""			""	"EDGE305"	
91			2013-09-04T13:36:25Z	Biking				""			""	"EDGE305"	
92			2013-05-15T23:15:32Z	Biking				""			""	"EDGE305"	
93			2013-10-21T13:41:57Z	Biking				""			""	"EDGE305"	
94			2013-01-17T00:13:06Z	Biking				""			""	"EDGE305"	
95			2013-04-02T14:48:33Z	Biking				""			""	"EDGE305"	
96			2013-07-16T23:16:48Z	Biking				""			""	"EDGE305"	
97			2013-09-23T13:42:24Z	Biking				""			""	"EDGE305"	
98			2013-09-25T13:41:13Z	Biking				""			""	"EDGE305"	
99			2013-01-09T15:50:24Z	Biking				""			""	"EDGE305"	
100			2013-09-03T23:19:00Z	Biking				""			""	"EDGE305"	
101			2013-04-23T14:51:03Z	Biking				""			""	"EDGE305"	
102			2013-01-02T15:51:51Z	Biking				""			""	"EDGE305"	
103			2013-11-20T14:37:44Z	Biking				""			""	"EDGE305"	
104			2013-10-08T23:20:41Z	Biking				""			""	"EDGE305"	
105			2013-07-09T23:17:56Z	Biking				""			""	"EDGE305"	
106			2013-06-07T14:04:14Z	Biking				""			""	"EDGE305"	
107			2013-09-06T13:36:59Z	Biking				""			""	"EDGE305"	
108			2013-10-18T13:39:04Z	Biking				""			""	"EDGE305"	
109			2013-10-15T23:23:50Z	Biking				""			""	"EDGE305"	
110			2013-08-27T13:40:24Z	Biking				""			""	"EDGE305"	
111			2013-05-08T14:43:34Z	Biking				""			""	"EDGE305"	
112			2013-06-18T13:40:44Z	Biking				""			""	"EDGE305"	
113			2013-04-22T23:51:29Z	Biking				""			""	"EDGE305"	
114			2013-08-30T13:38:30Z	Biking				""			""	"EDGE305"	
115			2013-09-09T13:39:53Z	Biking				""			""	"EDGE305"	
116			2013-03-11T14:47:00Z	Biking				""			""	"EDGE305"	
117			2013-05-08T23:02:04Z	Biking				""			""	"EDGE305"	
118			2013-06-04T23:14:47Z	Biking				""			""	"EDGE305"	
119			2013-07-15T13:40:41Z	Biking				""			""	"EDGE305"	
120			2013-01-07T15:56:14Z	Biking				""			""	"EDGE305"	
121			2013-12-09T14:38:53Z	Biking				""			""	"EDGE305"	
122			2013-10-01T13:38:33Z	Biking				""			""	"EDGE305"	
123			2013-01-11T15:49:43Z	Biking				""			""	"EDGE305"	
124			2013-02-25T16:46:10Z	Biking				""			""	"EDGE305"	
125			2013-07-16T13:41:31Z	Biking				""			""	"EDGE305"	
126			2013-06-10T13:44:30Z	Biking				""			""	"EDGE305"	
127			2013-11-27T00:21:07Z	Biking				""			""	"EDGE305"	
128			2013-04-02T23:18:36Z	Biking				""			""	"EDGE305"	
129			2013-11-19T14:37:29Z	Biking				""			""	"EDGE305"	
130			2013-10-14T13:43:43Z	Biking				""			""	"EDGE305"	
131			2013-06-17T23:13:18Z	Biking				""			""	"EDGE305"	
132			2013-05-06T13:49:12Z	Biking				""			""	"EDGE305"	
133			2013-03-02T00:18:26Z	Biking				""			""	"EDGE305"	
134			2013-01-16T00:01:18Z	Biking				""			""	"EDGE305"	
135			2013-06-19T22:19:54Z	Biking				""			""	"EDGE305"	
136			2013-07-08T23:17:22Z	Biking				""			""	"EDGE305"	
137			2013-10-28T13:40:27Z	Biking				""			""	"EDGE305"	
138			2013-09-16T23:01:10Z	Biking				""			""	"EDGE305"	
139			2013-12-20T14:43:14Z	Biking				""			""	"EDGE305"	
140			2013-03-26T14:48:19Z	Biking				""			""	"EDGE305"	
141			2013-12-21T00:19:48Z	Biking				""			""	"EDGE305"	
142			2013-01-30T16:00:04Z	Biking				""			""	"EDGE305"	
143			2013-06-04T13:54:00Z	Biking				""			""	"EDGE305"	
144			2013-04-09T13:44:35Z	Biking				""			""	"EDGE305"	
145			2013-11-19T00:12:32Z	Biking				""			""	"EDGE305"	
