""RecID","MultiSportSessionRecID","NextSportRecID","StartTime","Sport","TotalTimeSeconds","DistanceMeters","VirtualPartner","PlanName","PlanType","IntervalWorkout","Notes","Creator","""
"1","","","2014-04-28T13:38:58Z","Biking","","","","""","","","""",""EDGE305"",""
"2","","","2012-11-28T00:15:52Z","Biking","","","","""","","","""",""EDGE305"",""
"3","","","2012-08-20T23:15:15Z","Biking","","","","""","","","""",""EDGE305"",""
"4","","","2012-04-23T14:48:07Z","Biking","","","","""","","","""",""EDGE305"",""
"5","","","2012-09-04T23:13:34Z","Biking","","","","""","","","""",""EDGE305"",""
"6","","","2014-06-20T23:24:34Z","Biking","","","","""","","","""",""EDGE305"",""
"7","","","2012-09-24T15:25:48Z","Biking","","","","""","","","""",""EDGE305"",""
"8","","","2013-05-10T14:49:09Z","Biking","","","","""","","","""",""EDGE305"",""
"9","","","2013-08-30T13:38:30Z","Biking","","","","""","","","""",""EDGE305"",""
"10","","","2014-07-07T13:34:31Z","Biking","","","","""","","","""",""EDGE305"",""
"11","","","2012-07-23T23:15:02Z","Biking","","","","""","","","""",""EDGE305"",""
"12","","","2013-05-29T13:51:34Z","Biking","","","","""","","","""",""EDGE305"",""
"13","","","2012-10-31T14:46:28Z","Biking","","","","""","","","""",""EDGE305"",""
"14","","","2014-04-21T23:22:09Z","Biking","","","","""","","","""",""EDGE305"",""
"15","","","2014-05-13T13:37:00Z","Biking","","","","""","","","""",""EDGE305"",""
"16","","","2014-02-21T14:38:38Z","Biking","","","","""","","","""",""EDGE305"",""
"17","","","2013-12-18T14:39:18Z","Biking","","","","""","","","""",""EDGE305"",""
"18","","","2012-07-24T14:46:46Z","Biking","","","","""","","","""",""EDGE305"",""
"19","","","2014-02-06T00:16:01Z","Biking","","","","""","","","""",""EDGE305"",""
"20","","","2014-03-05T14:34:06Z","Biking","","","","""","","","""",""EDGE305"",""
"21","","","2013-01-29T15:47:23Z","Biking","","","","""","","","""",""EDGE305"",""
"22","","","2013-01-11T23:56:46Z","Biking","","","","""","","","""",""EDGE305"",""
"23","","","2013-10-30T23:22:57Z","Biking","","","","""","","","""",""EDGE305"",""
"24","","","2013-12-13T14:41:57Z","Biking","","","","""","","","""",""EDGE305"",""
"25","","","2013-12-10T00:15:36Z","Biking","","","","""","","","""",""EDGE305"",""
"26","","","2014-01-10T14:38:54Z","Biking","","","","""","","","""",""EDGE305"",""
