,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-01-02,1690.76,14632.39,12.05,572.0,8.65
2013-01-03,1928.39,15305.22,12.34,702.0,7.94
2013-01-04,1821.275,14944.48,11.855,631.5,8.245000000000001
2013-01-07,1657.51,14625.53,12.02,609.0,8.82
2013-01-08,1794.495,14882.82,12.120000000000001,662.0,8.295
2013-01-09,1787.5949999999998,14972.335,11.765,649.5,8.48
2013-01-10,2190.25,15199.31,10.66,570.0,6.94
2013-01-11,2030.5349999999999,15945.935,12.844999999999999,629.5,7.955
2013-01-14,,,,,
2013-01-15,1657.85,14660.96,13.56,607.0,8.84
2013-01-16,1801.895,14960.175,17.814999999999998,659.5,8.35
2013-01-17,1911.71,15315.74,11.52,711.0,8.01
2013-01-18,,,,,
2013-01-21,,,,,
2013-01-22,1664.95,14645.72,12.32,587.0,8.8
2013-01-23,2071.58,16503.53,11.74,752.0,7.97
2013-01-24,,,,,
2013-01-25,1810.05,15627.315,11.74,697.5,8.66
2013-01-28,,,,,
2013-01-29,1626.96,14649.05,12.99,609.0,9.0
2013-01-30,1861.13,15934.080000000002,12.5,678.5,8.685
2013-01-31,1861.17,15234.42,11.68,728.0,8.19
2013-02-01,,,,,
2013-02-04,,,,,
2013-02-05,,,,,
2013-02-06,1625.64,14657.9,13.16,566.0,9.02
2013-02-07,1922.53,15255.81,11.97,712.0,7.94
2013-02-08,,,,,
2013-02-11,1673.45,14645.5,11.28,605.0,8.75
2013-02-12,1721.245,14955.145,12.09,671.5,8.725000000000001
2013-02-13,1778.58,14942.86,12.335,648.0,8.425
2013-02-14,1847.64,15289.35,11.99,731.0,8.28
2013-02-15,,,,,
2013-02-18,,,,,
2013-02-19,,,,,
2013-02-20,1594.59,14650.72,12.75,622.0,9.19
2013-02-21,1848.04,14615.24,12.15,682.0,7.91
2013-02-22,1972.52,15942.27,12.06,676.5,8.21
2013-02-25,771.73,7129.59,12.56,293.0,9.24
2013-02-26,1685.99,14364.206666666665,12.39,568.0,8.553333333333333
2013-02-27,2084.49,17797.09,13.3,720.0,8.54
2013-02-28,1953.51,15156.87,10.88,682.0,7.76
2013-03-01,1830.76,15907.575,13.285,646.0,8.81
2013-03-04,1602.0,14663.17,12.58,603.0,9.15
2013-03-05,1997.68,15237.75,11.12,631.0,7.63
2013-03-06,,,,,
2013-03-07,,,,,
2013-03-08,,,,,
2013-03-11,1811.685,14951.915,12.365,632.5,8.305
2013-03-12,1629.47,14641.41,13.86,593.0,8.99
2013-03-13,1904.12,15269.63,12.42,738.0,8.02
2013-03-14,,,,,
2013-03-15,,,,,
2013-03-18,,,,,
2013-03-19,1766.795,14927.805,12.985,619.0,8.535
2013-03-20,,,,,
2013-03-21,1708.175,14920.275,12.57,670.0,8.815000000000001
2013-03-22,1378.7333333333333,11033.006666666666,10.956666666666665,449.0,6.816666666666667
2013-03-25,3902.855,27744.705,11.985,1061.0,7.29
2013-03-26,1843.845,14951.994999999999,12.91,619.5,8.195
2013-03-27,1785.625,14948.494999999999,13.440000000000001,645.5,8.385000000000002
2013-03-28,,,,,
2013-03-29,1971.975,15449.835,13.575,648.0,7.99
2013-04-01,,,,,
2013-04-02,1647.395,14384.32,12.24,574.0,8.745
2013-04-03,1741.295,14917.465,18.235,645.5,8.61
2013-04-04,,,,,
2013-04-05,1736.2800000000002,14913.505000000001,12.405000000000001,671.5,8.635
2013-04-08,2228.4,15248.45,11.53,586.0,6.84
2013-04-09,2818.5550000000003,22521.595,13.385000000000002,901.0,7.855
2013-04-10,,,,,
2013-04-11,,,,,
2013-04-12,,,,,
2013-04-15,,,,,
2013-04-16,,,,,
2013-04-17,,,,,
2013-04-18,,,,,
2013-04-19,,,,,
2013-04-22,1833.32,14919.025,11.36,692.0,8.21
2013-04-23,1790.8000000000002,14950.71,12.875,624.0,8.41
