,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Trip_hours,average_mph,maximum_mph
2014-01-02,1179.255,9686.53,12.260000000000002,384.0,8.045,6.018945654740453,19.65425,0.3275708333333333,17.9959845141125,27.424907104775873
2014-01-03,1219.6433333333332,9529.123333333335,11.491666666666667,399.6666666666667,7.476666666666667,5.921137443506862,20.327388888888887,0.3387898148148148,16.725549158678813,25.706190115202503
2014-01-06,1157.545,9690.615,12.605,377.5,8.185,6.021483962369667,19.292416666666668,0.3215402777777778,18.310612578437777,28.196652043694932
2014-01-07,1198.0125,9527.4425,11.6675,397.5,7.6475,5.920093019498676,19.966874999999998,0.33278125000000003,17.10488220146395,26.099519057501837
2014-01-08,1248.6625,9596.76,10.8875,391.75,7.3475,5.9631650241714,20.811041666666668,0.34685069444444444,16.438327386474658,24.354704412989175
2014-01-09,1354.8899999999999,9431.77,9.66,356.5,6.539999999999999,5.860644736351548,22.5815,0.37635833333333335,14.629123423608778,21.608858289733682
2014-01-10,1216.835,9590.324999999999,11.719999999999999,411.0,7.4925,5.959166490611058,20.280583333333333,0.33800972222222225,16.75993915216225,26.216958504728648
2014-01-13,1187.045,9707.445,13.094999999999999,528.0,7.92,6.031941665527484,19.784083333333335,0.3297347222222222,17.722602456101043,29.29275355114519
2014-01-14,1197.255,9601.9925,11.7975,425.0,7.665000000000001,5.96641635701592,19.954250000000002,0.3325708333333333,17.141046325150082,26.39032149825394
2014-01-15,1095.2625,8619.6725,11.7575,379.25,7.6575,5.356029490350082,18.254375000000003,0.30423958333333334,17.130666939956814,26.300843824176372
2014-01-16,822.4266666666667,6328.083333333333,8.033333333333333,283.0,5.68,3.9320984585813648,13.70711111111111,0.22845185185185188,12.71309586464393,17.97009954391241
2014-01-27,1162.28,9734.75,18.310000000000002,472.0,8.165,6.048908248101706,19.371333333333332,0.32285555555555556,18.26418579434791,40.95840530900866
2014-01-28,1214.75,9508.4225,12.2375,408.0,7.459999999999999,5.9082745100475975,20.245833333333334,0.33743055555555557,16.682822446874788,27.37457591310724
2014-01-29,1278.225,9489.355,11.01,391.0,6.975,5.896426485391528,21.30375,0.3550625,15.602638513377716,24.628729789851743
2014-01-31,1188.5575000000001,9565.4125,12.055,405.0,7.672499999999999,5.94368654230927,19.809291666666667,0.33015486111111114,17.15876503160435,26.966334025128315
2014-02-03,1163.7549999999999,9677.83,12.555,394.0,8.04,6.0135397119316005,19.395916666666665,0.32326527777777775,17.983867913283348,28.084804951097965
2014-02-04,1245.875,9579.2575,11.3375,402.0,7.3774999999999995,5.9522894478481865,20.764583333333334,0.34607638888888886,16.50525656268479,25.361328246361865
2014-02-05,1537.605,12073.314999999999,11.42,484.5,7.4825,7.502028781985162,25.62675,0.4271125,16.734868328088496,25.545875949146854
2014-02-06,1259.67,9493.015,10.92,407.0,7.13,5.898700709607666,20.994500000000002,0.3499083333333333,15.954109741395879,24.427405023177204
2014-02-07,1002.8275000000001,7273.6675,11.634999999999998,304.0,7.02,4.519658679955759,16.713791666666665,0.27856319444444444,15.704549579803292,26.026818447313808
2014-02-10,1298.395,10621.245,12.415,414.5,7.91,6.599752072278077,21.639916666666668,0.3606652777777778,17.69299766697736,27.771633091826466
2014-02-11,1213.6875,9582.880000000001,12.165,424.25,7.605,5.954540370586701,20.228125,0.3371354166666667,17.013253886928286,27.212397628841636
2014-02-12,1380.18,11193.343333333332,11.670000000000002,471.0,7.713333333333334,6.955238379294204,23.002999999999997,0.38338333333333335,17.26134141276317,26.10511141213168
2014-02-13,827.13,7049.565,6.35,282.5,4.27,4.380407496240695,13.785499999999999,0.22975833333333331,9.546549012601933,14.204580759814583
2014-02-14,1185.71,9485.7575,13.42,455.5,7.665,5.894191096971429,19.761833333333332,0.3293638888888889,17.14732325390464,30.019759653025467
2014-02-18,1435.4850000000001,11754.71,12.44,462.0,7.965,7.30405632122485,23.924750000000003,0.39874583333333335,17.810715540404516,27.827556638124946
2014-02-19,1242.4524999999999,9566.875,11.125,375.25,7.4225,5.94459529993662,20.707541666666664,0.3451256944444444,16.603609702173394,24.88597810282476
2014-02-20,1201.2625,9522.1025,17.9425,374.75,7.62,5.916774889084967,20.02104166666667,0.3336840277777778,17.044191622206206,40.13632917842097
2014-02-21,1255.69,9553.861666666666,12.353333333333333,389.0,7.245,5.936509169390352,20.928166666666666,0.34880277777777774,16.21154881323662,27.633688344290203
