,index,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,parsed,zoned,hour,Miles,Minutes,Trip_hours,average_mph,maximum_mph,leg_flag,month,day,weekday
209,330,2013-01-04 23:59:27,1962.15,15237.36,11.43,691.0,7.77,2013-01-04 23:59:27+00:00,2013-01-04 15:59:27-08:00,15,9.4680800825183,32.7025,0.5450416666666666,17.37129592389261,25.56824536766625,evening_suburb,1,4,4
210,49,2013-01-11 23:56:46,2359.68,17255.28,13.34,664.0,7.31,2013-01-11 23:56:46+00:00,2013-01-11 15:56:46-08:00,15,10.721960555258677,39.327999999999996,0.6554666666666666,16.35775105053704,29.84080430487032,evening_suburb,1,11,4
211,279,2013-02-26 23:57:57,1755.68,14137.46,11.73,507.0,8.05,2013-02-26 23:57:57+00:00,2013-02-26 15:57:57-08:00,15,8.784632209477177,29.261333333333333,0.4876888888888889,18.012779068006605,26.23932792324804,evening_suburb,2,26,1
212,338,2013-04-24 22:17:51,2234.69,15840.44,18.69,615.0,7.09,2013-04-24 22:17:51+00:00,2013-04-24 15:17:51-07:00,15,9.842817552537065,37.24483333333333,0.6207472222222222,15.856402091177493,41.8084432127456,evening_suburb,4,24,2
213,4,2013-05-03 22:59:16,2209.53,17216.25,10.99,678.0,7.79,2013-05-03 22:59:16+00:00,2013-05-03 15:59:16-07:00,15,10.697708377347237,36.825500000000005,0.6137583333333334,17.42983809156248,24.583990952812954,evening_suburb,5,3,4
214,266,2013-05-06 22:16:36,1698.26,14133.58,11.99,519.0,8.32,2013-05-06 22:16:36+00:00,2013-05-06 15:16:36-07:00,15,8.782221283258977,28.304333333333332,0.4717388888888889,18.616699810236547,26.82093280475226,evening_suburb,5,6,0
215,294,2013-05-14 22:19:57,1679.17,14123.3,12.36,553.0,8.41,2013-05-14 22:19:57+00:00,2013-05-14 15:19:57-07:00,15,8.775833571526215,27.98616666666667,0.46643611111111116,18.81465298778228,27.648601289969804,evening_suburb,5,14,1
216,105,2013-05-20 22:22:18,2141.24,16202.24,11.75,651.0,7.57,2013-05-20 22:22:18+00:00,2013-05-20 15:22:18-07:00,15,10.067630208656965,35.68733333333333,0.5947888888888888,16.926392534776614,26.284066760286827,evening_suburb,5,20,0
217,377,2013-05-21 22:19:16,1766.01,14086.95,11.65,503.0,7.98,2013-05-21 22:19:16+00:00,2013-05-21 15:19:16-07:00,15,8.753246672548997,29.4335,0.4905583333333333,17.843436912121895,26.060372575092895,evening_suburb,5,21,1
218,261,2013-05-24 22:19:36,2215.03,16495.23,13.38,647.0,7.45,2013-05-24 22:19:36+00:00,2013-05-24 15:19:36-07:00,15,10.249686206767992,36.91716666666667,0.6152861111111111,16.65840658788584,29.930281978947892,evening_suburb,5,24,4
