,index,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,parsed,zoned,hour,Miles,Minutes,Trip_hours,average_mph,maximum_mph,leg_flag,month,day,weekday
86,161,2013-01-02 15:51:51,1690.76,14632.39,12.05,572.0,8.65,2013-01-02 15:51:51+00:00,2013-01-02 07:51:51-08:00,7,9.092168218027266,28.179333333333332,0.46965555555555555,19.359226374469564,26.955149315868617,morning_suburb,1,2,2
87,375,2013-01-04 15:46:52,1680.4,14651.6,12.28,572.0,8.72,2013-01-04 15:46:52+00:00,2013-01-04 07:46:52-08:00,7,9.10410478829831,28.006666666666668,0.4667777777777778,19.504152129179907,27.469645941814658,morning_suburb,1,4,4
88,191,2013-01-07 15:56:14,1657.51,14625.53,12.02,609.0,8.82,2013-01-07 15:56:14+00:00,2013-01-07 07:56:14-08:00,7,9.08790560105385,27.625166666666665,0.46041944444444444,19.738318419674005,26.88804106031044,morning_suburb,1,7,0
89,344,2013-01-08 15:49:34,1748.47,14634.27,12.59,605.0,8.37,2013-01-08 15:49:34+00:00,2013-01-08 07:49:34-08:00,7,9.093336398772168,29.141166666666667,0.4856861111111111,18.722660975355485,28.16309791591584,morning_suburb,1,8,1
90,157,2013-01-09 15:50:24,1568.33,14644.98,12.3,599.0,9.34,2013-01-09 15:50:24+00:00,2013-01-09 07:50:24-08:00,7,9.099991300781687,26.13883333333333,0.4356472222222222,20.88844100591972,27.514384778853444,morning_suburb,1,9,2
91,196,2013-01-11 15:49:43,1701.39,14636.59,12.35,595.0,8.6,2013-01-11 15:49:43+00:00,2013-01-11 07:49:43-08:00,7,9.094777983521196,28.3565,0.47260833333333335,19.243795214898586,27.62623187145041,morning_suburb,1,11,4
92,88,2013-01-15 15:48:24,1657.85,14660.96,13.56,607.0,8.84,2013-01-15 15:48:24+00:00,2013-01-15 07:48:24-08:00,7,9.10992083711335,27.63083333333333,0.46051388888888883,19.782076191216373,30.33293151229697,morning_suburb,1,15,1
93,20,2013-01-16 15:46:19,1643.11,14574.66,12.3,620.0,8.87,2013-01-16 15:46:19+00:00,2013-01-16 07:46:19-08:00,7,9.056296369940473,27.385166666666667,0.45641944444444443,19.842047660707866,27.514384778853444,morning_suburb,1,16,2
94,405,2013-01-22 15:49:12,1664.95,14645.72,12.32,587.0,8.8,2013-01-22 15:49:12+00:00,2013-01-22 07:49:12-08:00,7,9.100451116606807,27.749166666666667,0.4624861111111111,19.677241971100937,27.55912361589223,morning_suburb,1,22,1
95,296,2013-01-25 15:48:43,1633.04,14594.61,11.92,626.0,8.94,2013-01-25 15:48:43+00:00,2013-01-25 07:48:43-08:00,7,9.068692756036636,27.217333333333332,0.4536222222222222,19.991729487172325,26.664346875116507,morning_suburb,1,25,4
