StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-01-02 15:51:51,1690.76,14632.39,12.05,572,8.65
2013-01-03 00:20:26,1928.39,15305.22,12.34,702,7.94
2013-01-04 15:46:52,1680.4,14651.6,12.28,572,8.72
2013-01-04 23:59:27,1962.15,15237.36,11.43,691,7.77
2013-01-07 15:56:14,1657.51,14625.53,12.02,609,8.82
2013-01-08 00:17:29,1840.52,15131.37,11.65,719,8.22
2013-01-08 15:49:34,1748.47,14634.27,12.59,605,8.37
2013-01-09 00:16:02,2006.86,15299.69,11.23,700,7.62
2013-01-09 15:50:24,1568.33,14644.98,12.3,599,9.34
2013-01-10 00:10:07,2190.25,15199.31,10.66,570,6.94
2013-01-11 15:49:43,1701.39,14636.59,12.35,595,8.6
2013-01-11 23:56:46,2359.68,17255.28,13.34,664,7.31
2013-01-15 15:48:24,1657.85,14660.96,13.56,607,8.84
2013-01-16 00:01:18,1960.68,15345.69,23.33,699,7.83
2013-01-16 15:46:19,1643.11,14574.66,12.3,620,8.87
2013-01-17 00:13:06,1911.71,15315.74,11.52,711,8.01
2013-01-22 15:49:12,1664.95,14645.72,12.32,587,8.8
2013-01-23 00:17:08,2071.58,16503.53,11.74,752,7.97
2013-01-25 15:48:43,1633.04,14594.61,11.92,626,8.94
2013-01-26 00:21:15,1987.06,16660.02,11.56,769,8.38
2013-01-29 15:47:23,1626.96,14649.05,12.99,609,9.0
2013-01-30 00:17:37,2168.52,17213.24,12.31,744,7.94
2013-01-30 16:00:04,1553.74,14654.92,12.69,613,9.43
2013-01-31 00:17:49,1861.17,15234.42,11.68,728,8.19
2013-02-06 15:49:21,1625.64,14657.9,13.16,566,9.02
2013-02-07 00:17:11,1922.53,15255.81,11.97,712,7.94
2013-02-11 15:48:47,1673.45,14645.5,11.28,605,8.75
2013-02-12 00:22:10,1857.1,15255.66,11.69,736,8.21
2013-02-12 15:53:27,1585.39,14654.63,12.49,607,9.24
2013-02-13 00:15:43,1898.11,15229.1,11.95,722,8.02
2013-02-13 15:48:06,1659.05,14656.62,12.72,574,8.83
2013-02-14 00:57:29,1847.64,15289.35,11.99,731,8.28
2013-02-20 15:45:44,1594.59,14650.72,12.75,622,9.19
2013-02-21 00:20:02,1848.04,14615.24,12.15,682,7.91
2013-02-22 15:47:46,1633.73,14645.94,12.47,623,8.96
2013-02-23 00:02:32,2311.31,17238.6,11.65,730,7.46
2013-02-25 16:46:10,771.73,7129.59,12.56,293,9.24
2013-02-26 00:03:26,1750.96,14314.05,11.79,591,8.17
2013-02-26 16:11:12,1551.33,14641.11,13.65,606,9.44
2013-02-26 23:57:57,1755.68,14137.46,11.73,507,8.05
2013-02-27 14:47:54,2084.49,17797.09,13.3,720,8.54
2013-02-28 00:19:31,1953.51,15156.87,10.88,682,7.76
2013-03-01 16:46:59,1527.88,14598.59,14.39,594,9.55
2013-03-02 00:18:26,2133.64,17216.56,12.18,698,8.07
2013-03-04 15:49:42,1602.0,14663.17,12.58,603,9.15
2013-03-05 00:12:12,1997.68,15237.75,11.12,631,7.63
2013-03-11 14:47:00,1643.5,14635.16,12.81,592,8.9
2013-03-11 23:15:42,1979.87,15268.67,11.92,673,7.71
2013-03-12 14:47:03,1629.47,14641.41,13.86,593,8.99
2013-03-13 00:17:36,1904.12,15269.63,12.42,738,8.02
2013-03-19 15:01:46,1571.85,14639.8,13.53,625,9.31
2013-03-19 23:15:51,1961.74,15215.81,12.44,613,7.76
2013-03-21 14:49:37,1523.59,14594.64,13.24,635,9.58
2013-03-21 23:18:42,1892.76,15245.91,11.9,705,8.05
2013-03-22 13:46:00,2086.73,17819.94,12.26,714,8.54
2013-03-22 23:18:33,1755.08,14144.9,11.53,520,8.06
2013-03-23 00:39:52,294.39,1134.18,9.08,113,3.85
2013-03-25 14:41:03,5805.72,40173.62,11.98,1473,6.92
2013-03-25 23:17:52,1999.99,15315.79,11.99,649,7.66
2013-03-26 14:48:19,1634.75,14645.47,12.44,605,8.96
2013-03-26 23:18:44,2052.94,15258.52,13.38,634,7.43
2013-03-27 15:00:14,1696.75,14640.26,12.65,580,8.63
2013-03-27 23:18:36,1874.5,15256.73,14.23,711,8.14
2013-03-29 15:09:22,1646.14,14662.6,11.97,626,8.91
2013-03-29 23:18:31,2297.81,16237.07,15.18,670,7.07
2013-04-02 14:48:33,1593.9,14666.04,12.6,605,9.2
2013-04-02 23:18:36,1700.89,14102.6,11.88,543,8.29
2013-04-03 14:47:49,1596.4,14662.74,23.41,588,9.18
2013-04-03 23:18:15,1886.19,15172.19,13.06,703,8.04
2013-04-05 14:47:05,1598.16,14653.51,11.82,621,9.17
2013-04-05 23:20:57,1874.4,15173.5,12.99,722,8.1
2013-04-08 23:15:25,2228.4,15248.45,11.53,586,6.84
2013-04-09 13:44:35,3548.92,29733.52,13.88,1195,8.38
2013-04-09 23:14:17,2088.19,15309.67,12.89,607,7.33
2013-04-22 14:49:05,1640.37,14618.99,10.99,624,8.91
