,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
161,2013-01-02T15:51:51Z,1690.76,14632.39,12.05,572.0,8.65
51,2013-01-03T00:20:26Z,1928.39,15305.22,12.34,702.0,7.94
375,2013-01-04T15:46:52Z,1680.4,14651.6,12.28,572.0,8.72
330,2013-01-04T23:59:27Z,1962.15,15237.36,11.43,691.0,7.77
191,2013-01-07T15:56:14Z,1657.51,14625.53,12.02,609.0,8.82
283,2013-01-08T00:17:29Z,1840.52,15131.37,11.65,719.0,8.22
344,2013-01-08T15:49:34Z,1748.47,14634.27,12.59,605.0,8.37
258,2013-01-09T00:16:02Z,2006.86,15299.69,11.23,700.0,7.62
157,2013-01-09T15:50:24Z,1568.33,14644.98,12.3,599.0,9.34
360,2013-01-10T00:10:07Z,2190.25,15199.31,10.66,570.0,6.94
196,2013-01-11T15:49:43Z,1701.39,14636.59,12.35,595.0,8.6
49,2013-01-11T23:56:46Z,2359.68,17255.28,13.34,664.0,7.31
88,2013-01-15T15:48:24Z,1657.85,14660.96,13.56,607.0,8.84
213,2013-01-16T00:01:18Z,1960.68,15345.69,23.33,699.0,7.83
20,2013-01-16T15:46:19Z,1643.11,14574.66,12.3,620.0,8.87
149,2013-01-17T00:13:06Z,1911.71,15315.74,11.52,711.0,8.01
405,2013-01-22T15:49:12Z,1664.95,14645.72,12.32,587.0,8.8
287,2013-01-23T00:17:08Z,2071.58,16503.53,11.74,752.0,7.97
296,2013-01-25T15:48:43Z,1633.04,14594.61,11.92,626.0,8.94
50,2013-01-26T00:21:15Z,1987.06,16660.02,11.56,769.0,8.38
112,2013-01-29T15:47:23Z,1626.96,14649.05,12.99,609.0,9.0
255,2013-01-30T00:17:37Z,2168.52,17213.24,12.31,744.0,7.94
227,2013-01-30T16:00:04Z,1553.74,14654.92,12.69,613.0,9.43
81,2013-01-31T00:17:49Z,1861.17,15234.42,11.68,728.0,8.19
241,2013-02-06T15:49:21Z,1625.64,14657.9,13.16,566.0,9.02
394,2013-02-07T00:17:11Z,1922.53,15255.81,11.97,712.0,7.94
140,2013-02-11T15:48:47Z,1673.45,14645.5,11.28,605.0,8.75
284,2013-02-12T00:22:10Z,1857.1,15255.66,11.69,736.0,8.21
408,2013-02-12T15:53:27Z,1585.39,14654.63,12.49,607.0,9.24
113,2013-02-13T00:15:43Z,1898.11,15229.1,11.95,722.0,8.02
388,2013-02-13T15:48:06Z,1659.05,14656.62,12.72,574.0,8.83
409,2013-02-14T00:57:29Z,1847.64,15289.35,11.99,731.0,8.28
376,2013-02-20T15:45:44Z,1594.59,14650.72,12.75,622.0,9.19
29,2013-02-21T00:20:02Z,1848.04,14615.24,12.15,682.0,7.91
248,2013-02-22T15:47:46Z,1633.73,14645.94,12.47,623.0,8.96
341,2013-02-23T00:02:32Z,2311.31,17238.6,11.65,730.0,7.46
197,2013-02-25T16:46:10Z,771.73,7129.59,12.56,293.0,9.24
87,2013-02-26T00:03:26Z,1750.96,14314.05,11.79,591.0,8.17
126,2013-02-26T16:11:12Z,1551.33,14641.11,13.65,606.0,9.44
279,2013-02-26T23:57:57Z,1755.68,14137.46,11.73,507.0,8.05
66,2013-02-27T14:47:54Z,2084.49,17797.09,13.3,720.0,8.54
264,2013-02-28T00:19:31Z,1953.51,15156.87,10.88,682.0,7.76
7,2013-03-01T16:46:59Z,1527.88,14598.59,14.39,594.0,9.55
212,2013-03-02T00:18:26Z,2133.64,17216.56,12.18,698.0,8.07
236,2013-03-04T15:49:42Z,1602.0,14663.17,12.58,603.0,9.15
354,2013-03-05T00:12:12Z,1997.68,15237.75,11.12,631.0,7.63
186,2013-03-11T14:47:00Z,1643.5,14635.16,12.81,592.0,8.9
347,2013-03-11T23:15:42Z,1979.87,15268.67,11.92,673.0,7.71
325,2013-03-12T14:47:03Z,1629.47,14641.41,13.86,593.0,8.99
297,2013-03-13T00:17:36Z,1904.12,15269.63,12.42,738.0,8.02
391,2013-03-19T15:01:46Z,1571.85,14639.8,13.53,625.0,9.31
102,2013-03-19T23:15:51Z,1961.74,15215.81,12.44,613.0,7.76
402,2013-03-21T14:49:37Z,1523.59,14594.64,13.24,635.0,9.58
82,2013-03-21T23:18:42Z,1892.76,15245.91,11.9,705.0,8.05
74,2013-03-22T13:46:00Z,2086.73,17819.94,12.26,714.0,8.54
321,2013-03-22T23:18:33Z,1755.08,14144.9,11.53,520.0,8.06
322,2013-03-23T00:39:52Z,294.39,1134.18,9.08,113.0,3.85
392,2013-03-25T14:41:03Z,5805.72,40173.62,11.98,1473.0,6.92
368,2013-03-25T23:17:52Z,1999.99,15315.79,11.99,649.0,7.66
224,2013-03-26T14:48:19Z,1634.75,14645.47,12.44,605.0,8.96
276,2013-03-26T23:18:44Z,2052.94,15258.52,13.38,634.0,7.43
52,2013-03-27T15:00:14Z,1696.75,14640.26,12.65,580.0,8.63
357,2013-03-27T23:18:36Z,1874.5,15256.73,14.23,711.0,8.14
373,2013-03-29T15:09:22Z,1646.14,14662.6,11.97,626.0,8.91
265,2013-03-29T23:18:31Z,2297.81,16237.07,15.18,670.0,7.07
150,2013-04-02T14:48:33Z,1593.9,14666.04,12.6,605.0,9.2
204,2013-04-02T23:18:36Z,1700.89,14102.6,11.88,543.0,8.29
21,2013-04-03T14:47:49Z,1596.4,14662.74,23.41,588.0,9.18
90,2013-04-03T23:18:15Z,1886.19,15172.19,13.06,703.0,8.04
233,2013-04-05T14:47:05Z,1598.16,14653.51,11.82,621.0,9.17
71,2013-04-05T23:20:57Z,1874.4,15173.5,12.99,722.0,8.1
48,2013-04-08T23:15:25Z,2228.4,15248.45,11.53,586.0,6.84
230,2013-04-09T13:44:35Z,3548.92,29733.52,13.88,1195.0,8.38
395,2013-04-09T23:14:17Z,2088.19,15309.67,12.89,607.0,7.33
393,2013-04-22T14:49:05Z,1640.37,14618.99,10.99,624.0,8.91
181,2013-04-22T23:51:29Z,2026.27,15219.06,11.73,760.0,7.51
160,2013-04-23T14:51:03Z,1618.18,14629.46,12.72,594.0,9.04
116,2013-04-23T23:19:47Z,1963.42,15271.96,13.03,654.0,7.78
308,2013-04-24T14:47:33Z,1571.17,14610.3,14.66,601.0,9.3
338,2013-04-24T22:17:51Z,2234.69,15840.44,18.69,615.0,7.09
