,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
397,2014-01-02T14:44:27Z,615.57,4734.3,12.89,209.0,7.69
398,2014-01-02T15:46:13Z,1742.94,14638.76,11.63,559.0,8.4
12,2014-01-03T00:20:08Z,1670.34,14112.42,13.76,553.0,8.45
13,2014-01-03T01:38:46Z,857.27,4813.75,9.23,268.0,5.62
362,2014-01-03T14:37:08Z,605.17,4735.76,12.94,174.0,7.83
363,2014-01-03T15:47:39Z,1740.74,14577.64,11.48,547.0,8.37
163,2014-01-04T00:22:45Z,1638.1,14110.84,12.31,577.0,8.61
164,2014-01-04T01:39:35Z,806.24,4824.33,9.23,279.0,5.98
450,2014-01-06T14:37:04Z,606.17,4724.96,12.23,182.0,7.79
451,2014-01-06T15:46:41Z,1708.92,14656.27,12.98,573.0,8.58
444,2014-01-07T00:16:15Z,1667.22,14063.33,12.0,571.0,8.44
445,2014-01-07T01:41:02Z,818.97,4709.88,8.93,247.0,5.75
517,2014-01-07T14:42:00Z,603.1,4710.42,12.13,207.0,7.81
518,2014-01-07T15:48:45Z,1702.76,14626.14,13.61,565.0,8.59
423,2014-01-08T00:18:57Z,1684.63,14149.41,11.07,564.0,8.4
424,2014-01-08T01:39:22Z,853.16,4818.14,9.91,295.0,5.65
27,2014-01-08T14:37:12Z,663.73,4760.85,11.0,167.0,7.17
28,2014-01-08T15:48:32Z,1793.13,14658.64,11.57,541.0,8.17
384,2014-01-09T00:18:57Z,1805.78,14096.54,10.34,507.0,7.81
385,2014-01-09T01:42:01Z,904.0,4767.0,8.98,206.0,5.27
354,2014-01-10T14:38:54Z,658.74,4771.73,12.33,251.0,7.24
355,2014-01-10T15:49:21Z,1675.68,14648.18,12.68,585.0,8.74
435,2014-01-11T00:25:59Z,1609.24,14141.83,12.75,585.0,8.79
436,2014-01-11T01:40:55Z,923.68,4799.56,9.12,223.0,5.2
413,2014-01-13T14:39:15Z,644.97,4749.56,12.82,499.0,7.36
414,2014-01-13T15:50:13Z,1729.12,14665.33,13.37,557.0,8.48
102,2014-01-14T00:23:28Z,1649.69,14118.69,12.74,590.0,8.56
103,2014-01-14T01:45:23Z,851.04,4832.06,9.88,251.0,5.68
446,2014-01-14T14:37:28Z,639.0,4816.6,12.04,270.0,7.54
447,2014-01-14T15:47:22Z,1649.29,14640.62,12.53,589.0,8.88
79,2014-01-15T00:21:30Z,1696.41,14133.24,11.58,594.0,8.33
80,2014-01-15T01:39:27Z,854.47,4823.09,10.56,221.0,5.64
223,2014-01-15T14:41:42Z,609.25,4794.84,13.28,275.0,7.87
224,2014-01-15T15:57:56Z,1220.92,10727.52,11.61,427.0,8.79
181,2014-01-16T00:24:11Z,1644.43,14130.11,11.62,612.0,8.59
182,2014-01-16T01:00:22Z,1.23,3.14,2.55,0.0,2.55
183,2014-01-16T01:41:08Z,821.62,4851.0,9.93,237.0,5.9
382,2014-01-27T14:38:41Z,626.24,4826.94,23.71,358.0,7.71
383,2014-01-27T15:49:19Z,1698.32,14642.56,12.91,586.0,8.62
342,2014-01-28T00:19:05Z,1709.17,14110.4,12.28,537.0,8.26
343,2014-01-28T01:40:52Z,842.09,4805.44,9.88,228.0,5.71
332,2014-01-28T14:40:30Z,637.4,4559.64,15.07,276.0,7.15
333,2014-01-28T15:54:12Z,1670.34,14558.21,11.72,591.0,8.72
513,2014-01-29T00:15:08Z,1699.4,14168.33,12.48,567.0,8.34
514,2014-01-29T01:39:29Z,857.05,4810.38,9.54,215.0,5.61
94,2014-01-31T14:39:13Z,625.25,4674.37,12.6,208.0,7.48
95,2014-01-31T17:02:11Z,1666.17,14640.23,14.78,602.0,8.79
92,2014-02-01T00:27:08Z,1610.72,14140.69,11.88,603.0,8.78
93,2014-02-01T01:39:01Z,852.09,4806.36,8.96,207.0,5.64
136,2014-02-03T14:38:49Z,633.18,4706.37,12.52,204.0,7.43
137,2014-02-03T15:47:51Z,1694.33,14649.29,12.59,584.0,8.65
459,2014-02-04T00:19:12Z,1761.36,14133.06,10.77,507.0,8.02
460,2014-02-04T01:40:57Z,839.32,4833.81,9.66,262.0,5.76
309,2014-02-04T14:40:21Z,644.22,4708.97,12.49,250.0,7.31
310,2014-02-04T15:45:58Z,1738.6,14641.19,12.43,589.0,8.42
346,2014-02-05T00:23:41Z,1787.72,14114.4,10.48,508.0,7.9
347,2014-02-05T01:39:12Z,820.05,4836.52,9.73,229.0,5.9
463,2014-02-05T14:57:31Z,618.53,4782.83,12.57,209.0,7.73
464,2014-02-05T15:52:36Z,2924.12,24559.51,12.9,992.0,8.4
307,2014-02-06T00:16:01Z,1710.69,14131.1,11.59,564.0,8.26
308,2014-02-06T01:38:55Z,808.65,4854.93,10.25,250.0,6.0
0,2014-02-07T14:41:03Z,614.76,4822.52,12.43,275.0,7.84
1,2014-02-07T15:47:50Z,1751.72,14645.62,12.12,569.0,8.36
296,2014-02-08T00:19:31Z,724.78,4828.24,9.27,150.0,6.66
297,2014-02-08T02:19:31Z,920.05,4798.29,12.72,222.0,5.22
110,2014-02-10T14:42:03Z,646.26,4763.09,11.65,201.0,7.37
111,2014-02-10T15:46:34Z,1950.53,16479.4,13.18,628.0,8.45
8,2014-02-11T00:24:06Z,1629.76,14132.17,11.06,617.0,8.67
9,2014-02-11T01:39:06Z,878.31,4812.69,11.28,249.0,5.48
241,2014-02-11T14:40:28Z,601.54,4739.02,13.28,255.0,7.88
242,2014-02-11T15:47:25Z,1745.14,14647.64,13.04,576.0,8.39
189,2014-02-12T00:20:31Z,1638.06,14108.55,11.72,584.0,8.61
190,2014-02-12T01:44:14Z,854.41,4829.06,10.56,225.0,5.65
26,2014-02-12T15:45:07Z,1648.07,14642.42,12.73,604.0,8.88
112,2014-02-13T00:17:09Z,1651.85,14099.13,11.03,565.0,8.54
113,2014-02-13T01:58:49Z,2.41,0.0,1.67,0.0,0.0
372,2014-02-14T14:44:23Z,567.47,4384.83,13.6,394.0,7.73
373,2014-02-14T15:46:33Z,1702.22,14628.46,17.89,579.0,8.59
149,2014-02-15T00:23:00Z,1607.29,14117.18,12.43,606.0,8.78
150,2014-02-15T01:39:24Z,865.86,4812.56,9.76,243.0,5.56
409,2014-02-18T14:43:07Z,546.7,4152.8,12.19,169.0,7.6
410,2014-02-18T15:46:04Z,2324.27,19356.62,12.69,755.0,8.33
497,2014-02-19T00:18:08Z,1723.17,14111.4,11.17,508.0,8.19
498,2014-02-19T01:39:32Z,955.23,4816.77,9.48,245.0,5.04
169,2014-02-19T14:38:59Z,606.29,4717.64,12.17,143.0,7.78
170,2014-02-19T15:46:25Z,1685.12,14621.69,11.68,605.0,8.68
519,2014-02-20T00:19:18Z,1702.22,13952.26,11.06,540.0,8.2
520,2014-02-20T01:40:00Z,854.04,4806.64,35.33,198.0,5.63
98,2014-02-20T14:39:33Z,608.81,4712.12,12.15,153.0,7.74
99,2014-02-20T15:45:49Z,1639.98,14617.39,13.23,608.0,8.91
388,2014-02-21T00:17:33Z,1667.11,14145.37,16.24,583.0,8.48
389,2014-02-21T01:39:01Z,838.08,4812.74,9.72,225.0,5.74
456,2014-02-21T14:38:38Z,645.41,4718.13,12.26,157.0,7.31
457,2014-02-21T15:46:05Z,1693.58,14651.66,13.42,595.0,8.65
270,2014-02-21T23:18:42Z,1788.47,14136.35,10.98,483.0,7.9
271,2014-02-22T00:59:50Z,901.49,4858.92,11.5,291.0,5.39
65,2014-02-24T14:39:01Z,651.58,5261.17,21.83,468.0,8.07
66,2014-02-24T15:46:04Z,1688.6,14647.68,12.52,562.0,8.67
266,2014-02-25T00:18:41Z,1730.76,14108.07,10.88,553.0,8.15
267,2014-02-25T01:41:20Z,794.92,4829.52,9.34,215.0,6.08
