,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Hours,average_mph,maximum_mph
2013-01-02 15:51:51,1690.76,14632.39,12.05,572.0,8.65,9.09,28.18,0.47,19.36,8.99
2013-01-03 00:20:26,1928.39,15305.22,12.34,702.0,7.94,9.51,32.14,0.54,17.75,9.2
2013-01-04 15:46:52,1680.4,14651.6,12.28,572.0,8.72,9.1,28.01,0.47,19.5,9.16
2013-01-04 23:59:27,1962.15,15237.36,11.43,691.0,7.77,9.47,32.7,0.55,17.37,8.52
2013-01-07 15:56:14,1657.51,14625.53,12.02,609.0,8.82,9.09,27.63,0.46,19.74,8.96
2013-01-08 00:17:29,1840.52,15131.37,11.65,719.0,8.22,9.4,30.68,0.51,18.39,8.69
2013-01-08 15:49:34,1748.47,14634.27,12.59,605.0,8.37,9.09,29.14,0.49,18.72,9.39
2013-01-09 00:16:02,2006.86,15299.69,11.23,700.0,7.62,9.51,33.45,0.56,17.05,8.37
2013-01-09 15:50:24,1568.33,14644.98,12.3,599.0,9.34,9.1,26.14,0.44,20.89,9.17
2013-01-10 00:10:07,2190.25,15199.31,10.66,570.0,6.94,9.44,36.5,0.61,15.52,7.95
2013-01-11 15:49:43,1701.39,14636.59,12.35,595.0,8.6,9.09,28.36,0.47,19.24,9.21
2013-01-11 23:56:46,2359.68,17255.28,13.34,664.0,7.31,10.72,39.33,0.66,16.36,9.95
2013-01-15 15:48:24,1657.85,14660.96,13.56,607.0,8.84,9.11,27.63,0.46,19.78,10.11
2013-01-16 00:01:18,1960.68,15345.69,23.33,699.0,7.83,9.54,32.68,0.54,17.51,17.4
2013-01-16 15:46:19,1643.11,14574.66,12.3,620.0,8.87,9.06,27.39,0.46,19.84,9.17
2013-01-17 00:13:06,1911.71,15315.74,11.52,711.0,8.01,9.52,31.86,0.53,17.92,8.59
2013-01-22 15:49:12,1664.95,14645.72,12.32,587.0,8.8,9.1,27.75,0.46,19.68,9.19
2013-01-23 00:17:08,2071.58,16503.53,11.74,752.0,7.97,10.25,34.53,0.58,17.82,8.75
2013-01-25 15:48:43,1633.04,14594.61,11.92,626.0,8.94,9.07,27.22,0.45,19.99,8.89
2013-01-26 00:21:15,1987.06,16660.02,11.56,769.0,8.38,10.35,33.12,0.55,18.76,8.62
2013-01-29 15:47:23,1626.96,14649.05,12.99,609.0,9.0,9.1,27.12,0.45,20.14,9.69
2013-01-30 00:17:37,2168.52,17213.24,12.31,744.0,7.94,10.7,36.14,0.6,17.76,9.18
2013-01-30 16:00:04,1553.74,14654.92,12.69,613.0,9.43,9.11,25.9,0.43,21.1,9.46
2013-01-31 00:17:49,1861.17,15234.42,11.68,728.0,8.19,9.47,31.02,0.52,18.31,8.71
2013-02-06 15:49:21,1625.64,14657.9,13.16,566.0,9.02,9.11,27.09,0.45,20.17,9.81
2013-02-07 00:17:11,1922.53,15255.81,11.97,712.0,7.94,9.48,32.04,0.53,17.75,8.93
2013-02-11 15:48:47,1673.45,14645.5,11.28,605.0,8.75,9.1,27.89,0.46,19.58,8.41
2013-02-12 00:22:10,1857.1,15255.66,11.69,736.0,8.21,9.48,30.95,0.52,18.38,8.72
2013-02-12 15:53:27,1585.39,14654.63,12.49,607.0,9.24,9.11,26.42,0.44,20.68,9.31
2013-02-13 00:15:43,1898.11,15229.1,11.95,722.0,8.02,9.46,31.64,0.53,17.95,8.91
2013-02-13 15:48:06,1659.05,14656.62,12.72,574.0,8.83,9.11,27.65,0.46,19.76,9.48
2013-02-14 00:57:29,1847.64,15289.35,11.99,731.0,8.28,9.5,30.79,0.51,18.51,8.94
2013-02-20 15:45:44,1594.59,14650.72,12.75,622.0,9.19,9.1,26.58,0.44,20.55,9.51
2013-02-21 00:20:02,1848.04,14615.24,12.15,682.0,7.91,9.08,30.8,0.51,17.69,9.06
2013-02-22 15:47:46,1633.73,14645.94,12.47,623.0,8.96,9.1,27.23,0.45,20.05,9.3
2013-02-23 00:02:32,2311.31,17238.6,11.65,730.0,7.46,10.71,38.52,0.64,16.68,8.69
2013-02-25 16:46:10,771.73,7129.59,12.56,293.0,9.24,4.43,12.86,0.21,20.67,9.37
2013-02-26 00:03:26,1750.96,14314.05,11.79,591.0,8.17,8.89,29.18,0.49,18.29,8.79
2013-02-26 16:11:12,1551.33,14641.11,13.65,606.0,9.44,9.1,25.86,0.43,21.11,10.18
2013-02-26 23:57:57,1755.68,14137.46,11.73,507.0,8.05,8.78,29.26,0.49,18.01,8.75
2013-02-27 14:47:54,2084.49,17797.09,13.3,720.0,8.54,11.06,34.74,0.58,19.1,9.92
2013-02-28 00:19:31,1953.51,15156.87,10.88,682.0,7.76,9.42,32.56,0.54,17.36,8.11
2013-03-01 16:46:59,1527.88,14598.59,14.39,594.0,9.55,9.07,25.46,0.42,21.37,10.73
2013-03-02 00:18:26,2133.64,17216.56,12.18,698.0,8.07,10.7,35.56,0.59,18.05,9.08
2013-03-04 15:49:42,1602.0,14663.17,12.58,603.0,9.15,9.11,26.7,0.44,20.47,9.38
2013-03-05 00:12:12,1997.68,15237.75,11.12,631.0,7.63,9.47,33.29,0.55,17.06,8.29
2013-03-11 14:47:00,1643.5,14635.16,12.81,592.0,8.9,9.09,27.39,0.46,19.92,9.55
2013-03-11 23:15:42,1979.87,15268.67,11.92,673.0,7.71,9.49,33.0,0.55,17.25,8.89
2013-03-12 14:47:03,1629.47,14641.41,13.86,593.0,8.99,9.1,27.16,0.45,20.1,10.33
2013-03-13 00:17:36,1904.12,15269.63,12.42,738.0,8.02,9.49,31.74,0.53,17.94,9.26
2013-03-19 15:01:46,1571.85,14639.8,13.53,625.0,9.31,9.1,26.2,0.44,20.83,10.09
2013-03-19 23:15:51,1961.74,15215.81,12.44,613.0,7.76,9.45,32.7,0.54,17.35,9.28
2013-03-21 14:49:37,1523.59,14594.64,13.24,635.0,9.58,9.07,25.39,0.42,21.43,9.87
2013-03-21 23:18:42,1892.76,15245.91,11.9,705.0,8.05,9.47,31.55,0.53,18.02,8.87
2013-03-22 13:46:00,2086.73,17819.94,12.26,714.0,8.54,11.07,34.78,0.58,19.1,9.14
2013-03-22 23:18:33,1755.08,14144.9,11.53,520.0,8.06,8.79,29.25,0.49,18.03,8.6
2013-03-23 00:39:52,294.39,1134.18,9.08,113.0,3.85,0.7,4.91,0.08,8.62,6.77
2013-03-25 14:41:03,5805.72,40173.62,11.98,1473.0,6.92,24.96,96.76,1.61,15.48,8.93
2013-03-25 23:17:52,1999.99,15315.79,11.99,649.0,7.66,9.52,33.33,0.56,17.13,8.94
2013-03-26 14:48:19,1634.75,14645.47,12.44,605.0,8.96,9.1,27.25,0.45,20.04,9.28
2013-03-26 23:18:44,2052.94,15258.52,13.38,634.0,7.43,9.48,34.22,0.57,16.63,9.98
2013-03-27 15:00:14,1696.75,14640.26,12.65,580.0,8.63,9.1,28.28,0.47,19.3,9.43
2013-03-27 23:18:36,1874.5,15256.73,14.23,711.0,8.14,9.48,31.24,0.52,18.21,10.61
2013-03-29 15:09:22,1646.14,14662.6,11.97,626.0,8.91,9.11,27.44,0.46,19.93,8.93
2013-03-29 23:18:31,2297.81,16237.07,15.18,670.0,7.07,10.09,38.3,0.64,15.81,11.32
2013-04-02 14:48:33,1593.9,14666.04,12.6,605.0,9.2,9.11,26.56,0.44,20.58,9.4
2013-04-02 23:18:36,1700.89,14102.6,11.88,543.0,8.29,8.76,28.35,0.47,18.55,8.86
2013-04-03 14:47:49,1596.4,14662.74,23.41,588.0,9.18,9.11,26.61,0.44,20.55,17.46
2013-04-03 23:18:15,1886.19,15172.19,13.06,703.0,8.04,9.43,31.44,0.52,17.99,9.74
2013-04-05 14:47:05,1598.16,14653.51,11.82,621.0,9.17,9.11,26.64,0.44,20.51,8.81
2013-04-05 23:20:57,1874.4,15173.5,12.99,722.0,8.1,9.43,31.24,0.52,18.11,9.69
2013-04-08 23:15:25,2228.4,15248.45,11.53,586.0,6.84,9.47,37.14,0.62,15.31,8.6
2013-04-09 13:44:35,3548.92,29733.52,13.88,1195.0,8.38,18.48,59.15,0.99,18.74,10.35
2013-04-09 23:14:17,2088.19,15309.67,12.89,607.0,7.33,9.51,34.8,0.58,16.4,9.61
2013-04-22 14:49:05,1640.37,14618.99,10.99,624.0,8.91,9.08,27.34,0.46,19.94,8.19
2013-04-22 23:51:29,2026.27,15219.06,11.73,760.0,7.51,9.46,33.77,0.56,16.8,8.75
2013-04-23 14:51:03,1618.18,14629.46,12.72,594.0,9.04,9.09,26.97,0.45,20.22,9.48
