,index,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,parsed,zoned,hour,Miles,Minutes,Trip_hours,average_mph,maximum_mph,leg_flag,month,day,weekday
0,397,2014-01-02 14:44:27,615.57,4734.3,12.89,209.0,7.69,2014-01-02 14:44:27+00:00,2014-01-02 06:44:27-08:00,6,2.94176494712118,10.259500000000001,0.17099166666666668,17.204142192823316,28.834180471497636,morning_city,1,2,3
1,362,2014-01-03 14:37:08,605.17,4735.76,12.94,174.0,7.83,2014-01-03 14:37:08+00:00,2014-01-03 06:37:08-08:00,6,2.942672151316689,10.086166666666665,0.16810277777777777,17.50519646502649,28.9460275640946,morning_city,1,3,4
2,450,2014-01-06 14:37:04,606.17,4724.96,12.23,182.0,7.79,2014-01-06 14:37:04+00:00,2014-01-06 06:37:04-08:00,6,2.935961325760871,10.102833333333333,0.16838055555555556,17.436462993449254,27.357798849217694,morning_city,1,6,0
3,517,2014-01-07 14:42:00,603.1,4710.42,12.13,207.0,7.81,2014-01-07 14:42:00+00:00,2014-01-07 06:42:00-08:00,6,2.926926566169983,10.051666666666668,0.1675277777777778,17.471291059877196,27.134104664023763,morning_city,1,7,1
4,27,2014-01-08 14:37:12,663.73,4760.85,11.0,167.0,7.17,2014-01-08 14:37:12+00:00,2014-01-08 06:37:12-08:00,6,2.9582623932792327,11.062166666666666,0.18436944444444445,16.045296454590325,24.60636037133235,morning_city,1,8,2
5,354,2014-01-10 14:38:54,658.74,4771.73,12.33,251.0,7.24,2014-01-10 14:38:54+00:00,2014-01-10 06:38:54-08:00,6,2.9650229286539824,10.979000000000001,0.18298333333333336,16.20378684026222,27.581493034411622,morning_city,1,10,4
6,413,2014-01-13 14:39:15,644.97,4749.56,12.82,499.0,7.36,2014-01-13 14:39:15+00:00,2014-01-13 06:39:15-08:00,6,2.9512470950824565,10.749500000000001,0.17915833333333336,16.472842988506198,28.677594541861883,morning_city,1,13,0
7,446,2014-01-14 14:37:28,639.0,4816.6,12.04,270.0,7.54,2014-01-14 14:37:28+00:00,2014-01-14 06:37:28-08:00,6,2.9929039233474595,10.65,0.17750000000000002,16.861430554070193,26.932779897349224,morning_city,1,14,1
8,223,2014-01-15 14:41:42,609.25,4794.84,13.28,275.0,7.87,2014-01-15 14:41:42+00:00,2014-01-15 06:41:42-08:00,6,2.9793828525979595,10.154166666666667,0.16923611111111111,17.604888419126226,29.70658779375396,morning_city,1,15,2
9,382,2014-01-27 14:38:41,626.24,4826.94,23.71,358.0,7.71,2014-01-27 14:38:41+00:00,2014-01-27 06:38:41-08:00,6,2.999328917444418,10.437333333333333,0.17395555555555556,17.24192658214088,53.037891309480905,morning_city,1,27,0
10,332,2014-01-28 14:40:30,637.4,4559.64,15.07,276.0,7.15,2014-01-28 14:40:30+00:00,2014-01-28 06:40:30-08:00,6,2.833235984937925,10.623333333333333,0.17705555555555555,16.001960379316802,33.710713708725315,morning_city,1,28,1
11,94,2014-01-31 14:39:13,625.25,4674.37,12.6,208.0,7.48,2014-01-31 14:39:13+00:00,2014-01-31 06:39:13-08:00,6,2.9045260790137575,10.420833333333333,0.17368055555555553,16.723380862774135,28.185467334435234,morning_city,1,31,4
12,136,2014-02-03 14:38:49,633.18,4706.37,12.52,204.0,7.43,2014-02-03 14:38:49+00:00,2014-02-03 06:38:49-08:00,6,2.9244100065865513,10.552999999999999,0.1758833333333333,16.626987623916715,28.006511986280092,morning_city,2,3,0
13,309,2014-02-04 14:40:21,644.22,4708.97,12.49,250.0,7.31,2014-02-04 14:40:21+00:00,2014-02-04 06:40:21-08:00,6,2.926025575701841,10.737,0.17895,16.35107893658475,27.939403730721914,morning_city,2,4,1
14,463,2014-02-05 14:57:31,618.53,4782.83,12.57,209.0,7.73,2014-02-05 14:57:31+00:00,2014-02-05 06:57:31-08:00,6,2.9719201660307952,10.308833333333332,0.17181388888888888,17.297322034033698,28.118359078877056,morning_city,2,5,2
15,0,2014-02-07 14:41:03,614.76,4822.52,12.43,275.0,7.84,2014-02-07 14:41:03+00:00,2014-02-07 06:41:03-08:00,6,2.9965824499484266,10.246,0.17076666666666668,17.547818367841653,27.805187219605553,morning_city,2,7,4
16,110,2014-02-10 14:42:03,646.26,4763.09,11.65,201.0,7.37,2014-02-10 14:42:03+00:00,2014-02-10 06:42:03-08:00,6,2.959654268209328,10.770999999999999,0.17951666666666666,16.48679380675515,26.060372575092895,morning_city,2,10,0
17,241,2014-02-11 14:40:28,601.54,4739.02,13.28,255.0,7.88,2014-02-11 14:40:28+00:00,2014-02-11 06:40:28-08:00,6,2.944697826438168,10.025666666666666,0.16709444444444443,17.622954708211264,29.70658779375396,morning_city,2,11,1
18,372,2014-02-14 14:44:23,567.47,4384.83,13.6,394.0,7.73,2014-02-14 14:44:23+00:00,2014-02-14 06:44:23-08:00,6,2.724613816844172,9.457833333333333,0.15763055555555555,17.284807550423846,30.42240918637454,morning_city,2,14,4
19,409,2014-02-18 14:43:07,546.7,4152.8,12.19,169.0,7.6,2014-02-18 14:43:07+00:00,2014-02-18 06:43:07-08:00,6,2.580436700759318,9.111666666666668,0.15186111111111114,16.992083634047088,27.26832117514012,morning_city,2,18,1
20,169,2014-02-19 14:38:59,606.29,4717.64,12.17,143.0,7.78,2014-02-19 14:38:59+00:00,2014-02-19 06:38:59-08:00,6,2.9314128773285946,10.104833333333334,0.1684138888888889,17.406004318697224,27.223582338101334,morning_city,2,19,2
21,98,2014-02-20 14:39:33,608.81,4712.12,12.15,153.0,7.74,2014-02-20 14:39:33+00:00,2014-02-20 06:39:33-08:00,6,2.9279828998222874,10.146833333333332,0.16911388888888887,17.313674938585496,27.17884350106255,morning_city,2,20,3
22,456,2014-02-21 14:38:38,645.41,4718.13,12.26,157.0,7.31,2014-02-21 14:38:38+00:00,2014-02-21 06:38:38-08:00,6,2.931717349969553,10.756833333333333,0.17928055555555555,16.35267885513145,27.424907104775873,morning_city,2,21,4
23,65,2014-02-24 14:39:01,651.58,5261.17,21.83,468.0,8.07,2014-02-24 14:39:01+00:00,2014-02-24 06:39:01-08:00,6,3.269147600879864,10.859666666666667,0.18099444444444446,18.062143348733095,48.83244062783501,morning_city,2,24,0
24,249,2014-02-25 14:36:45,637.16,4788.5,12.52,176.0,7.52,2014-02-25 14:36:45+00:00,2014-02-25 06:36:45-08:00,6,2.9754433494475996,10.619333333333334,0.1769888888888889,16.811469737603364,28.006511986280092,morning_city,2,25,1
25,187,2014-03-03 14:37:30,596.29,5023.86,13.16,203.0,8.43,2014-03-03 14:37:30+00:00,2014-03-03 06:37:30-08:00,6,3.121689636745498,9.938166666666666,0.1656361111111111,18.84667308236562,29.438154771521248,morning_city,3,3,0
26,431,2014-03-04 14:35:57,619.83,4792.74,18.8,175.0,7.73,2014-03-04 14:35:57+00:00,2014-03-04 06:35:57-08:00,6,2.978077969850995,10.3305,0.17217500000000002,17.296808304637693,42.054506816458925,morning_city,3,4,1
27,81,2014-03-05 14:34:06,402.23,3139.65,13.38,205.0,7.81,2014-03-05 14:34:06+00:00,2014-03-05 06:34:06-08:00,6,1.950892912622566,6.703833333333334,0.11173055555555557,17.460692850958996,29.930281978947892,morning_city,3,5,2
28,82,2014-03-05 14:42:06,12.2,124.18,9.37,1.0,10.18,2014-03-05 14:42:06+00:00,2014-03-05 06:42:06-08:00,6,0.07716206643717301,0.2033333333333333,0.0033888888888888883,22.769134358510073,20.96014515267128,morning_city,3,5,2
29,503,2014-03-07 14:39:00,598.84,4730.12,11.77,206.0,7.9,2014-03-07 14:39:00+00:00,2014-03-07 06:39:00-08:00,6,2.939167609081984,9.980666666666668,0.16634444444444446,17.669166042173437,26.328805597325612,morning_city,3,7,4
